#,Depth,Year,Chaetocladius near Parachaetocladius,Chaetocladius piger,Chaetocladius type B,Chironomini larvula,Chironomus undiff,C anthracinus,Chironomus plumosus,C mancus,Corynoneura undiff,C arctica,Cricotopus Orthocladius undiff,Cricotopus bicinctus,C.intersectus,Cricotopus laricomalis,Cricotopus near trifascia,Cricotopus Orthocladius undifferentiated,Cricotopus tremulus,Cricotopus type 2,Derotanypus,Dicrotendipes,Doncricotopus,Eukiefferiella claripennis,Eukiefferiella devonica,Hydrobaenus conformis,Hydrobaenus lugubris,Limnophyes,Limnophyes Paralimnophyes,Macropelopiini undifferentiated,Metriocnemus eurynotus,Metriocnemus terrester,Near Cricotopus cylindraceus,Near Parakiefferiella type B,Neozavrelia,Oliveridia,Orthocladiinae undifferentiated,Orthocladius 345,Orthocladius oliveri,O trignolabis,Orthocladius type C,Orthocladius type I,Orthocladius type S,Paracladius,Parakiefferiella type B,Paratanytarsus,P penicillatus,Phaenopsectra flavipes,Procladius,Psectrocladius,Psectrocladius Allopsectrocladius type B,Psectrocladius septentrionalis,P sordidellus,Pseudosmittia,Rheocricotopus effusus,Rheocricotopus fuscipes,Smittia-Parasmittia,Synorthocladius,Tanytarsus,T lugens,Tanytarsus mendax,Tanytarsus pallidicornis,Zalutschia type C,Chironomini undifferentiated,Tanypodinae,Tanytarsini,Unknown,Sum
1,0.5,2018,0.5,0,0,0,0,11.5,0,0,0,2,0,0,2,0,1.5,0,0,0,0,20.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,2,0,0,4,0,0,3,0,0,0,3.5,0,0,0,0,0,1,3.5,0,0,0,0,0,7,0,64
2,1,2012,0,0.5,0,0,0,4,0,3,0,3,1,0,2,0,0,0,1,0,1,16,0,0,1,0.5,0,1,0,0,0,0,0,0,0,0.5,1,0,1,0,0,0,0,0,1,4,1,1,1.5,0,0,0,5,0,0,0,0,0.5,0,1,1,0,0.5,0,0,1.5,1,55.5
3,2,2005,0,0,1,1,0,13.5,0,2.5,0,0,0,0,1,0,0,0,0,1,1,20.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.5,0,1,0,0,0,2,0,0,3.5,1,0,0,0.5,0,0,6,0,0,0,0,0,1,0,0,0,0,0.5,1,2,1.5,63.5
4,3,1994,0,0,0,0,0,11.5,0,2,0,2,1,0,5,0,0,0,1,0,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0.5,0,0,2,0,0,4,2,0,2,2,0,0,3.5,0,0,0,0,0,0,1,0,0,0,0,1,5,0,62.5
5,4,1986,0,0.5,0,0,0,15,0,3.5,0,4,0,0,3.5,0,0,1,0,0,3.5,18.5,0,0.5,0,0,0,0,1,1,1,0,0,0,1,1,3.5,0,1.5,0,0.5,1.5,0,0,0,13.5,1,0,5,0,0,0,8,0.5,0,0,0,0,2,0,0,0,0,1,2.5,6,1.5,103
6,5,1977,0,0,0,2,0,7.5,0,0,0,2.5,2,1,9.5,0,0,0,0,0,0,10.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6.5,0,0,1.5,1,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,3.5,4,0.5,60
7,6,1961,0,0,0.5,0,0,7,1,0,0,2,1,0,5.5,1.5,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1.5,0,0,0,0,1,2,1,0,6,5,0,4,0.5,0,1,5.5,0,0,0,0,0,1,2,0,0,0,0,0,3.5,1,65.5
8,7,1954,0,0,0,1,1,14,1,0,0,2,1.5,0,11,0,0,0.5,0,0,1,6,0,0,0,0,1.5,0,0,0,0,1,0,0,0,0.5,2.5,0,1,1.5,0,3.5,1.5,0,0,24,5,0,8,2,0,0.5,11.5,0,0,0,0,0,0,0,0,0,0,0,1,10,4.5,118.5
9,8,1931,0,0,1,0,0,3.5,0,0,0,3,1.5,0,4,0,0,0,0,0,0,5,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0.5,2.5,0,0,0,0,1,2,0,0,9,4,0,2,0,0,0,6,0,0,0,0,0,4,2,0,0,0,0,0,5.5,0.5,58.5
10,9,1902,0,0,0,0,1,11,0,0,0,1,0,0,2.5,0,0,0,0,0,0,4.5,0,0,0,0,1.5,0,1,0,0,0,0,0,1,0,0,0.5,1,1,0,1.5,2,0,0.5,8.5,5,0,2.5,6.5,0,1,4,0,0,0,0,0,0,0,2.5,0,0,0,2,7.5,0,69.5
11,10,1896,0,0,0.5,0,0,11.5,1,0,0,4,3,0,13,0,0,1,2,0,0,0.5,0,0,0,2.5,1,0,0,0,4,0,0,1,1,2.5,3,0,1,1,0,4,3.5,0,1,26,8,0,1.5,1.5,1,0.5,18.5,0,0,1,0.5,0,4,1,0,0,0.5,0,2.5,7.5,1,137
12,11,1880,0,0,0,0,0,2,0,0,0,5,0,0,7,0,0,0,1,0,0,2,0,0,0,0.5,0.5,0,1,0,0.5,0.5,0,0,0,0,1,0,0,5.5,0,0.5,1,0,0,11.5,4,0,0,0,0,0,5.5,0,0,0,0,0,0,0,1,0,0,0,1.5,5,0,56.5
13,12,1854,0,0,0,0,0,10,1,0,1,4,2,0,10.5,0,0,0,0,0,0,4,0,0,0,3.5,0,0,3,0,5.5,1,0,0,1.5,2.5,2.5,0,3.5,1.5,0,3,2.5,0,0,10,12,0,5.5,1,0,0.5,12,0,0,0,0,0,0,0,1,0,0,0,2,3.5,1,111
14,12.5,1843,0,0.5,0.5,0,0,8,0,0,0,4,3,0,13,0,0,0,2,1,0,2.5,0,0,0,0,0,0,1,0,4.5,0,0,0,0,0,0.5,0,1,0,0,1,3,0,0,19,9,0,7.5,0,0,0,5.5,0,1,0,0,0,4.5,3,0,1,0,0,2,6,0.5,104.5
